family,seed,regime,scope,metric,raw_value,display_value,episodes,supported_episodes,supported_cases,weight_mass
gru_separate_mse,285000003,lambda4,postcorrection,episode_weighted_raw_gap,0.1026829023827628,0.1026829023827628,18,14,6,0.7777777777777778
gru_separate_mse,285000003,lambda4,prior,episode_weighted_centered_mse,85.15481796966509,85.15481796966509,18,14,6,0.7777777777777778
gru_separate_aux,285000003,lambda3,initial,episode_weighted_agreement,0.9074074074074073,90.74074074074073,18,18,6,1.0
gru_separate_aux,285000003,lambda3,full,episode_weighted_agreement,0.7296919491835373,72.96919491835374,18,18,6,1.0
gru_separate_aux,285000003,lambda3,postcorrection,episode_weighted_raw_gap,0.07167508510051229,0.07167508510051229,18,15,6,0.8333333333333334
gru_separate_aux,285000003,lambda3,prior,episode_weighted_centered_mse,0.07540637157573571,0.07540637157573571,18,17,6,0.9444444444444444
gru_separate_aux,285000003,lambda4,initial,episode_weighted_agreement,0.7037037037037037,70.37037037037037,18,16,6,0.8888888888888888
gru_separate_aux,285000003,lambda4,full,episode_weighted_agreement,0.6167891729748551,61.67891729748551,18,16,6,0.8888888888888888
gru_separate_aux,285000003,lambda4,postcorrection,episode_weighted_raw_gap,0.1214108465162939,0.1214108465162939,18,14,6,0.7777777777777778
gru_separate_aux,285000003,lambda4,prior,episode_weighted_centered_mse,0.09076032958642566,0.09076032958642566,18,14,6,0.7777777777777778
hold,,lambda3,initial,episode_weighted_agreement,0.018518518518518517,1.8518518518518516,18,18,6,1.0
hold,,lambda3,full,episode_weighted_agreement,0.2919324255831769,29.19324255831769,18,18,6,1.0
hold,,lambda3,postcorrection,episode_weighted_raw_gap,0.48495371321585146,0.48495371321585146,18,15,6,0.8333333333333334
hold,,lambda4,initial,episode_weighted_agreement,0.2592592592592593,25.92592592592593,18,16,6,0.8888888888888888
hold,,lambda4,full,episode_weighted_agreement,0.2991186165069746,29.911861650697457,18,16,6,0.8888888888888888
hold,,lambda4,postcorrection,episode_weighted_raw_gap,0.35927480520386657,0.35927480520386657,18,14,6,0.7777777777777778
