recording,arm,seed,learning_rate,horizon,status,error_type,error_message,standardized_rmse,standardized_sse,scalars,physical_rmse_deg,windows,joint_1_rmse_deg,joint_2_rmse_deg,joint_3_rmse_deg,joint_4_rmse_deg,joint_5_rmse_deg,joint_6_rmse_deg
recording_2021_12_15_22H_50M.mat,gru32,8103,0.003,128,PASS,,,0.7870890438148253,10467.226816245804,16896,22.233566804975993,22,10.636367487319667,7.815669439859217,13.285450978545775,33.481189555039336,28.052019983337054,26.596294257662336
recording_2021_12_15_22H_50M.mat,legacy_instant,8101,0.001,64,PASS,,,0.6271470844425481,3322.7121567534127,8448,18.96832304227387,22,5.8803907671258475,4.492190306243071,11.456002575056859,35.385708088098916,22.703835239207617,14.323841608653721
recording_2021_12_15_22H_50M.mat,legacy_instant,8101,0.001,128,PASS,,,0.7182664331490978,8716.759079233538,16896,22.21811188229214,22,8.850275770814813,5.329585947616911,13.44284952139502,41.69575462647245,23.528539084179165,19.552411552802997
recording_2021_12_15_22H_50M.mat,legacy_instant,8102,0.001,64,PASS,,,0.607379038793734,3116.54573907917,8448,16.828186613577916,22,8.601544555571593,5.611862678191061,12.386658768352376,28.141224282518174,22.1850918319763,12.4944586754388
recording_2021_12_15_22H_50M.mat,legacy_instant,8102,0.001,128,PASS,,,0.6886364636030784,8012.424144447426,16896,20.44999334516786,22,10.492098233807427,5.990081989763906,13.674183067249706,35.71896421348776,22.18772003545289,20.20211751029542
recording_2021_12_15_22H_50M.mat,legacy_instant,8103,0.001,64,PASS,,,0.6492268674366448,3560.7941985927064,8448,18.699945155272143,22,8.262388733046189,4.8255178700841705,16.447895574027875,31.720165477929573,22.594130103527796,14.811418590875899
recording_2021_12_15_22H_50M.mat,legacy_instant,8103,0.001,128,PASS,,,0.7568437126403852,9678.238401018012,16896,22.692886599019005,22,11.2499380367615,6.039345386759541,18.49525192043094,38.79673160354731,22.81625213072776,23.641610068547372
recording_2021_12_15_22H_50M.mat,gru10,8101,0.003,64,PASS,,,0.6676630280804601,3765.8980682659285,8448,17.809201492330985,22,8.099938038642009,6.529194407216003,15.264555371867967,25.132299135638494,24.87080470838083,17.651360671153583
recording_2021_12_15_22H_50M.mat,gru10,8101,0.003,128,PASS,,,0.681466495353793,7846.444688160143,16896,18.726153077619678,22,10.211063589809042,6.642735224011276,15.837852757015972,26.825782248981014,23.2969226307303,21.033647480699315
recording_2021_12_15_22H_50M.mat,gru10,8102,0.003,64,PASS,,,0.7474410922844625,4719.628839006178,8448,21.434576890374043,22,12.244365284660368,6.475047731073048,15.499707589961876,32.87918382787817,25.62472129661832,24.225767033907932
recording_2021_12_15_22H_50M.mat,gru10,8102,0.003,128,PASS,,,0.773621898074358,10112.101252580193,16896,22.992647674066298,22,13.456462341699403,6.528556302751798,15.418140164005413,37.625505956443966,24.566713363278016,26.293563968430064
recording_2021_12_15_22H_50M.mat,gru10,8103,0.003,64,PASS,,,0.6892196779629728,4013.000762423211,8448,19.387125536870634,22,12.930557951434817,6.390576491880463,13.463372854334933,30.048198770192602,23.411000774184643,20.368932408537734
recording_2021_12_15_22H_50M.mat,gru10,8103,0.003,128,PASS,,,0.7540622596355009,9607.232725205873,16896,21.927330555115823,22,15.144123978029118,6.852041803630366,13.177323666824245,35.86683369509015,24.188591040051346,23.735889047282992
recording_2021_12_15_22H_50M.mat,causal_ridge_1,,,64,PASS,,,0.615467221677521,3200.1015633054058,8448,17.874571131421032,22,10.401732221720355,6.608527844520579,11.8384629458079,29.580099645181754,17.57313876092352,21.004437137433147
recording_2021_12_15_22H_50M.mat,causal_ridge_1,,,128,PASS,,,0.8352176141466634,11786.454670524352,16896,24.61423756249781,22,14.77260054169972,8.590771860867605,16.36506847708439,38.792679779515,23.309271662672653,32.048766600111776
recording_2021_12_15_22H_50M.mat,causal_ridge_100,,,64,PASS,,,0.6388596606910704,3447.9807948605994,8448,18.197507836026777,22,10.139538137211426,6.446705992037709,12.759040181176339,30.401524092376164,20.50814292146376,18.300158395445955
recording_2021_12_15_22H_50M.mat,causal_ridge_100,,,128,PASS,,,0.7257179507328427,8898.557927692254,16896,21.359092349296308,22,12.135414206109493,7.357577543862672,14.561959756779148,35.39398871350939,20.786573652280072,25.278369754299085
recording_2021_12_15_22H_50M.mat,linear_frozen,,,64,PASS,,,0.7442999770404743,4680.043786788063,8448,20.59204919274647,22,12.731402126926449,6.9754112907714445,16.899542603151772,29.65080350665107,25.303134868932833,22.987750084878606
recording_2021_12_15_22H_50M.mat,linear_frozen,,,128,PASS,,,1.0252958897621045,17761.610153769558,16896,28.853689754626973,22,22.7682323076926,8.05994046047615,27.867064424765562,40.25951954906289,30.813530341243986,32.634055617222025
recording_2021_12_15_22H_50M.mat,persistence,,,64,PASS,,,1.1165213788509047,10531.445670714149,8448,29.903697940574112,22,25.997395523191642,12.243300206383338,16.171947992818083,37.01764135941326,37.083238615539436,39.148686686530056
recording_2021_12_15_22H_50M.mat,persistence,,,128,PASS,,,1.2563610374181604,26669.373879961808,16896,34.69416659618063,22,26.106205986328447,14.03798506958003,21.544567773346756,43.16083053233923,38.613651261905595,50.25407846582356
