block,regime,arm,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,paid_controller_seconds,queries,setup_allocation_seconds,steps,update_seconds,success_percent,query_fraction
4,lambda5,entropy,1.195884536617686,1.2155250071198365,0.16176365348048743,1.0,0.00026880910365379795,1.3884023454652679,32.16176800275064,0.009487579331685897,86.62396298424635,0.009884082066810893,100.0,0.37128026581512624
5,lambda5,analytic,0.02051876846376508,0.023694806940582472,0.10117546576862832,1.0,9.955370962304252e-05,0.023694806940582472,0.0,0.0011369144976924872,64.76165106464215,0.0019395702695018566,100.0,0.0
5,lambda5,neural,2.055111045346504,2.0667002901688067,0.10916313565115487,1.0,8.012511780685086e-05,2.0667002901688067,61.206776667867025,0.009474599990519495,61.206776667867025,0.002034519713976062,100.0,1.0
5,lambda5,period2,0.6369463256665662,0.6504014792389347,0.058646892370274956,1.0,0.00028684184186218166,0.6504014792389347,17.732263896603204,0.009487579331685897,34.61075540163114,0.0036807323988204107,100.0,0.5123339173281238
5,lambda5,random_pair,1.4452761793526723,1.4641135692255238,0.1433915599681699,1.0,0.00024535056319998424,1.4641135692255238,39.98308801177501,0.009487579331685897,80.81994841512528,0.009104459977965603,100.0,0.4947180590416247
5,lambda5,entropy,0.47409656954306195,0.48729236210459465,0.0526642851041134,1.0,0.000290406138961029,0.6601697004500259,13.432240047323468,0.009487579331685897,31.195665835330033,0.00341780709088579,100.0,0.4305803286336992
6,lambda5,analytic,0.011922885394099358,0.014323575948719578,0.06624019919745693,1.0,9.910038425160545e-05,0.014323575948719578,0.0,0.0011369144976924872,43.80255944130555,0.0011646756726761292,100.0,0.0
6,lambda5,neural,1.2893059148797599,1.3001992522665902,0.06959215129838704,1.0,8.618474566879785e-05,1.3001992522665902,37.619614525208966,0.009474599990519495,37.619614525208966,0.0013325526506418807,100.0,1.0
6,lambda5,period2,0.7080445912155626,0.7219144482139146,0.06863894245564245,1.0,0.00027565438892199575,0.7219144482139146,19.758273501203405,0.009487579331685897,39.370319393982086,0.004106623277744006,100.0,0.5018570792753979
6,lambda5,random_pair,1.181862452561009,1.1988527319033613,0.11496745520409092,1.0,0.00025642246962088576,1.1988527319033613,33.27240415798309,0.009487579331685897,66.6910359243909,0.007246277541045426,100.0,0.49890369367938364
6,lambda5,entropy,0.38906069218479344,0.40287721526338144,0.06923205388403661,1.0,0.0002956854403876872,0.5757545536088128,10.021580042811282,0.009487579331685897,41.07786417713264,0.004033258306514385,100.0,0.24396546031694918
7,lambda5,analytic,0.012560524714605737,0.014903648299047407,0.06094567427614222,1.0,0.00010062422750150035,0.014903648299047407,0.0,0.0011369144976924872,36.39189943679337,0.0011055848592476823,100.0,0.0
7,lambda5,neural,0.905963611085456,0.9164091014386643,0.047347794382126954,1.0,7.941396292526876e-05,0.9164091014386643,26.075447831505507,0.009474599990519495,26.075447831505507,0.0008914763997636068,100.0,1.0
